,SizeRank,RegionName,State,City,Metro,CountyName,AveragePrice,Down_payment_20%
9407,9444,28460,NC,Sneads Ferry,"Jacksonville, NC",Onslow County,382238.0397662604,76447.60795325208
9410,9447,27376,NC,West End,"Pinehurst-Southern Pines, NC",Moore County,378926.7176139176,75785.34352278353
9411,9448,28721,NC,Clyde,"Asheville, NC",Haywood County,285844.85637313063,57168.97127462613
9441,9479,27608,NC,Raleigh,"Raleigh-Cary, NC",Wake County,872077.2486422317,174415.44972844634
9469,9507,28138,NC,Rockwell,"Charlotte-Concord-Gastonia, NC-SC",Rowan County,236931.9299597761,47386.38599195523
9477,9515,28340,NC,,"Lumberton, NC",Robeson County,94766.0311506425,18953.2062301285
9485,9523,27025,NC,Madison,"Greensboro-High Point, NC",Rockingham County,139325.87415601802,27865.174831203607
9495,9533,28425,NC,Burgaw,"Wilmington, NC",Pender County,238881.5588389747,47776.31176779495
9540,9578,28778,NC,Swannanoa,"Asheville, NC",Buncombe County,340555.0723581986,68111.01447163972
9567,9605,28513,NC,Ayden,"Greenville, NC",Pitt County,183752.29281680493,36750.45856336099
9580,9616,28731,NC,Flat Rock,"Asheville, NC",Henderson County,433967.64592541504,86793.52918508301
